Species,Order,Family,Genus,Fasta file url,Alternative url
Saxifraga fortunei,Saxifragales,Saxifragaceae,Saxifraga,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006173.Saxifraga_fortunei.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Saxifragales/Saxifragaceae/INSDC.ERR5006173.Saxifraga_fortunei.a353.fasta
Lophopyxis maingayi,Malpighiales,Lophopyxidaceae,Lophopyxis,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180090.Lophopyxis_maingayi.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Malpighiales/Lophopyxidaceae/INSDC.ERR4180090.Lophopyxis_maingayi.a353.fasta
Saxifraga maderensis,Saxifragales,Saxifragaceae,Saxifraga,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006174.Saxifraga_maderensis.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Saxifragales/Saxifragaceae/INSDC.ERR5006174.Saxifraga_maderensis.a353.fasta
Trillium ovatum,Liliales,Melanthiaceae,Trillium,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006170.Trillium_ovatum.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Liliales/Melanthiaceae/INSDC.ERR5006170.Trillium_ovatum.a353.fasta
Paris thibetica,Liliales,Melanthiaceae,Paris,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006169.Paris_thibetica.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Liliales/Melanthiaceae/INSDC.ERR5006169.Paris_thibetica.a353.fasta
Pseudotrillium rivale,Liliales,Melanthiaceae,Pseudotrillium,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006168.Pseudotrillium_rivale.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Liliales/Melanthiaceae/INSDC.ERR5006168.Pseudotrillium_rivale.a353.fasta
Carlina sp.,Asterales,Asteraceae,Carlina,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006178.Carlina_sp.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asterales/Asteraceae/INSDC.ERR5006178.Carlina_sp.a353.fasta
Berardia lanuginosa,Asterales,Asteraceae,Berardia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180080.Berardia_lanuginosa.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asterales/Asteraceae/INSDC.ERR4180080.Berardia_lanuginosa.a353.fasta
Cardopatium corymbosum,Asterales,Asteraceae,Cardopatium,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180023.Cardopatium_corymbosum.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asterales/Asteraceae/INSDC.ERR4180023.Cardopatium_corymbosum.a353.fasta
Tugarinovia mongolica,Asterales,Asteraceae,Tugarinovia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180103.Tugarinovia_mongolica.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asterales/Asteraceae/INSDC.ERR4180103.Tugarinovia_mongolica.a353.fasta
