Specimen ID,Data Source,Order,Family,Genus,Species,Voucher specimen,Specimen barcode,Collection date,Country of origin,Material sampled,No. of genes recovered,No. of bp recovered,Fasta file url
2,PAFTOL,Ranunculales,Circaeasteraceae,Circaeaster,Circaeaster agrestis,"Chase, M.W. 506 (K)",K001275288,2000,Chile,Silica dried,332,138795,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5033191.Circaeaster_agrestis.a353.fasta
4,PAFTOL,Oxalidales,Connaraceae,Rourea,Rourea minor,"Chase, M.W. 1221 (K)",,,,DNA bank,347,213954,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7617900.Rourea_minor.a353.fasta
5,PAFTOL,Oxalidales,Connaraceae,Rourea,Rourea emarginata,"Chase, M.W. 1222 (K)",,,,DNA bank,347,202770,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7617901.Rourea_emarginata.a353.fasta
6,PAFTOL,Caryophyllales,Dioncophyllaceae,Triphyophyllum,Triphyophyllum peltatum,"Chase, M.W. 663 (K)",,,,Silica dried,341,176331,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006122.Triphyophyllum_peltatum.a353.fasta
9,PAFTOL,Malpighiales,Achariaceae,Erythrospermum,Erythrospermum zeylanicum,"Chase, M.W. 1277 (K)",,,,DNA bank,350,233220,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7617902.Erythrospermum_zeylanicum.a353.fasta
11,PAFTOL,Malpighiales,Achariaceae,Gynocardia,Gynocardia odorata,"Chase, M.W. 1279 (K)",K000370323,2002,Indonesia,Herbarium,351,231738,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7617903.Gynocardia_odorata.a353.fasta
13,PAFTOL,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus heterophyllus,"Chase, M.W. 1282 (K)",,,,Herbarium,347,212172,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5033192.Hydnocarpus_heterophyllus.a353.fasta
15,PAFTOL,Malpighiales,Achariaceae,Trichadenia,Trichadenia zeylanica,"Chase, M.W. 1289 (K)",K000370335,,Indonesia,Herbarium,349,230163,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7617904.Trichadenia_zeylanica.a353.fasta
17,PAFTOL,Aquifoliales,Cardiopteridaceae,Gonocaryum,Gonocaryum litorale,"Chase, M.W. 1294 (K)",,,,Silica dried,340,183564,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006123.Gonocaryum_litorale.a353.fasta
18,PAFTOL,Asparagales,Ixioliriaceae,Ixiolirion,Ixiolirion tataricum,"Chase, M.W. 489 (K)",,,,Live plant,330,156804,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180177.Ixiolirion_tataricum.a353.fasta
19,PAFTOL,Malpighiales,Euphorbiaceae,Suregada,Suregada glomerulata,"Chase, M.W. 1326 (K)",,,,DNA bank,346,198045,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7617905.Suregada_glomerulata.a353.fasta
23,PAFTOL,Sapindales,Sapindaceae,Eriocoelum,Eriocoelum sp.,"Chase, M.W. 1350 (K)",,,,DNA bank,347,218679,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5084243.Eriocoelum_sp.a353.fasta
24,PAFTOL,Sapindales,Sapindaceae,Guindilia,Guindilia trinervis,"Chase, M.W. 802 (K)",,,,Silica dried,346,209709,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5033193.Guindilia_trinervis.a353.fasta
25,PAFTOL,Malvales,Sphaerosepalaceae,Rhopalocarpus,Rhopalocarpus lucidus,"Chase, M.W. 906 (K)",,,,Live plant,350,211833,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180197.Rhopalocarpus_lucidus.a353.fasta
26,PAFTOL,Asparagales,Lanariaceae,Lanaria,Lanaria lanata,"Goldblatt, P.;  Manning, J.C. 9410 (K)",,,,Silica dried,348,207636,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180079.Lanaria_lanata.a353.fasta
27,PAFTOL,Ericales,Tetrameristaceae,Tetramerista,Tetramerista sp.,"Coode, M. J. E. 7925 (K)",,,,Silica dried,344,186252,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180196.Tetramerista_sp.a353.fasta
