Gene ID,Exemplar Accession,Exemplar gene,Exemplar species,Number of species,Number of genera,Average percentage of target recovered,Average recovered length,Fasta file url,Alignment file url,Tree file url
4471,A0A2I0W1B0,D2HGDH,Dendrobium catenatum,9303,7454,60.5,497.9833,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/4471.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/4471.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/4471.tree
4527,A0A1D1YNS3,PUR2_8,Anthurium amnicola,9399,7513,89.7,1172.0653,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/4527.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/4527.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/4527.tree
4691,A0A3L6EN24,TL17,Zea mays (Maize),9243,7401,79.4,433.8632,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/4691.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/4691.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/4691.tree
4724,A0A438JD55,HISN2_0,Vitis vinifera (Grape),9324,7463,78.3,540.4736,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/4724.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/4724.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/4724.tree
4744,A0A1J6IU77,DET1,Nicotiana attenuata (Coyote tobacco),7340,6051,60.8,191.92,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/4744.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/4744.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/4744.tree
4757,A0A140B492,NFU4,Prunus persica var. persica,9362,7487,76.1,497.5516,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/4757.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/4757.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/4757.tree
4793,,,,9280,7434,52.1,822.8502,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/4793.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/4793.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/4793.tree
4796,A0A251SZN4,NNRD,Helianthus annuus (Common sunflower),9297,7439,56.9,495.3566,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/4796.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/4796.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/4796.tree
4802,O80842,CPFTSY,Arabidopsis thaliana (Mouse-ear cress),9362,7486,69.4,618.4169,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/4802.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/4802.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/4802.tree
4806,A0A438BTH8,ZEU1_0,Vitis vinifera (Grape),8917,7179,67.5,412.7869,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/4806.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/4806.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/4806.tree
4848,A0A438HYI0,ARC6_2,Vitis vinifera (Grape),9352,7488,72.5,1188.7577,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/4848.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/4848.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/4848.tree
4889,A0A371I676,HCS1,Mucuna pruriens (Velvet bean) (Dolichos pruriens),8726,7070,60.7,332.7386,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/4889.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/4889.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/4889.tree
4890,A0A371GM23,RANGRF,Mucuna pruriens (Velvet bean) (Dolichos pruriens),8644,6956,57.7,333.043,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/4890.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/4890.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/4890.tree
4893,A0A4D8YME2,era,Salvia splendens (Scarlet sage),8730,7037,73.6,514.2266,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/4893.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/4893.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/4893.tree
4932,Q39055,CNX2,Arabidopsis thaliana (Mouse-ear cress),9336,7460,81.8,813.0151,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/4932.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/4932.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/4932.tree
4942,Q8RXP6,WAV2,Arabidopsis thaliana (Mouse-ear cress),9357,7476,71.8,619.0495,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/4942.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/4942.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/4942.tree
4951,A0A438IXM4,DIM1A_0,Vitis vinifera (Grape),8633,6953,80.9,465.39,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/4951.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/4951.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/4951.tree
4954,A0A371EWQ1,CTNNBL1,Mucuna pruriens (Velvet bean) (Dolichos pruriens),9365,7485,72.8,732.9938,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/4954.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/4954.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/4954.tree
